id,descripcion,laboratorio,condicion_venta,precio_unitario,year_compra,year_caducidad,porcentaje_efectividad,Ventas_Totales_Year
9,VAXIGRIP VACUNA ANTIINFLUENZA INACTIVADA SUSPENSIÓN INYECTABLE,SANOFI PASTEUR S.A.,Indirecta,25000,2022,2024,84,351000
93,NIOFEN SUSPENSIÓN ORAL 100 mg/5 mL,LABORATORIOS RECALCINE S.A.,Indirecta,25000,2019,2025,88,356000
98,"DOLOKETAZON GEL 2,5%",LABORATORIOS LAFI LTDA.,Indirecta,25000,2021,2023,91,519000
138,SEDOTUS JARABE,LABORATORIOS ANDRÓMACO S.A.,Indirecta,25000,2019,2023,96,439000
156,PERMETRINA CHAMPÚ PEDICULICIDA 1%,LABORATORIOS  EUROMED CHILE S.A.,Indirecta,25000,2019,2023,95,385000
164,GLICERINA ANHIDRA SOLUCIÓN PARA GOTAS ÓTICAS,LABORATORIOS SILESIA S.A.,Indirecta,25000,2020,2024,82,353000
165,BREXON UNGÜENTO DÉRMICO,SCHERING-PLOUGH CIA. LTDA.,Directa,25000,2022,2023,95,470000
166,HEMOSTAT BARRA,LABORATORIOS SILESIA S.A.,Indirecta,25000,2021,2024,89,379000
219,NAPROXENO SUPOSITORIOS INFANTILES 50 mg,OPKO CHILE S.A.,Directa,25000,2022,2025,88,522000
226,"TAPSIN COMPUESTO NOCHE PLUS POLVO PARA SOLUCIÓN ORAL, EN SOBRES",LABORATORIO MAVER S.A.,Directa,25000,2022,2024,96,350000
233,"TRICLOSÁN JABÓN LÍQUIDO 0,5%",ECOLAB S.A.,Indirecta,25000,2020,2023,87,512000
235,CLORHEXIDINA GLUCONATO JABÓN LÍQUIDO 2%,ECOLAB S.A.,Directa,25000,2021,2024,86,474000
266,"FASALIMP SOLUCIÓN NASAL 0,9%",LABORATORIOS FASA S.A.,Directa,25000,2019,2024,91,470000
325,DISFRUTAB ANTIGAS LIMA-LIMÓN COMPRIMIDOS MASTICABLES,LABORATORIO MAVER S.A.,Directa,25000,2022,2024,92,547000
343,BABY KANK-A GEL BUCAL 10%,LABORATORIOS RIDER LTDA.,Directa,25000,2020,2025,91,395000
347,SALES PARA REHIDRATACIÓN ORAL-90 POLVO PARA SOLUCIÓN ORAL,LABORATORIOS FASA S.A.,Indirecta,25000,2021,2025,85,514000
349,ESVIT-C SABOR NARANJA COMPRIMIDOS MASTICABLES 500 mg,LABORATORIO CHILE S.A.,Directa,25000,2020,2025,88,396000
373,TALCO MENTOLADO 2%,LABORATORIO Y DROGUERIA NACIONAL LTDA.,Directa,25000,2020,2024,83,501000
434,ENO REGULAR SAL DE FRUTA,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Indirecta,25000,2020,2023,87,476000
438,CAPRIMIDA - D FORTE CÁPSULAS,LABORATORIOS RECALCINE S.A.,Directa,25000,2022,2025,88,543000
451,COLONOK BALANCE COMPRIMIDOS RECUBIERTOS 500 mg,LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.,Indirecta,25000,2022,2024,90,333000
468,KITADOL INFANTIL COMPRIMIDOS MASTICABLES 160 mg,LABORATORIO CHILE S.A.,Directa,25000,2021,2024,89,406000
488,EXPERT-FITTIGEA DOBLE ACCIÓN ANTIMICÓTICO Y DESODORANTE POMADA DÉRMICA,LABORATORIOS ANDRÓMACO S.A.,Directa,25000,2020,2024,96,426000
523,DIMETICONA SUSPENSIÓN PARA GOTAS ORALES 4%,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa,25000,2021,2023,80,386000
529,ESANFLU INFANTIL JARABE 15 mg/5 mL,FARMACEUTICA ESAN LTDA,Indirecta,25000,2022,2024,81,476000
533,POVIN POMADA TÓPICA,LABORATORIOS ANDRÓMACO S.A.,Indirecta,25000,2020,2025,96,463000
534,COMBIZIM COMPOSITUM GRAGEAS,LABORATORIOS SILESIA S.A.,Directa,25000,2020,2024,91,342000
540,FLUMED JARABE 8 mg/5 mL,LABORATORIOS ANDRÓMACO S.A.,Indirecta,25000,2020,2025,88,459000
542,DOLO-ESAN COMPRIMIDOS 500 mg,FARMACEUTICA ESAN LTDA,Indirecta,25000,2020,2024,90,468000
561,"TAPSIN  POLVO PARA SOLUCIÓN ORAL, EN SOBRES",LABORATORIO MAVER S.A.,Directa,25000,2022,2025,87,352000
568,ENIFLEX DÚO 750 COMPRIMIDOS,LABORATORIO BAGÓ DE CHILE S.A.,Indirecta,25000,2019,2023,82,372000
603,CARISTOP SENSITIVE PASTA DENTAL,LABORATORIO MAVER S.A.,Directa,25000,2021,2023,99,396000
618,HIDRÓXIDO DE ALUMINIO SUSPENSIÓN ORAL 6%,LABORATORIO MAVER S.A.,Indirecta,25000,2020,2025,95,364000
646,IBUPROFENO SUSPENSIÓN ORAL PEDIÁTRICA 100 mg/5 mL,LABORATORIO CHILE S.A.,Indirecta,25000,2020,2024,81,423000
701,DICHLOREXAN SOLUCIÓN TÓPICA  2%,DIFEM LABORATORIOS S.A.,Directa,25000,2020,2025,89,411000
706,DOMPERIDONA CÁPSULAS 10 mg,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Indirecta,25000,2019,2024,86,345000
740,DOMPERIDONA COMPRIMIDOS 10 mg,LABORATORIOS  EUROMED CHILE S.A.,Directa,25000,2021,2025,100,506000
751,"NOSCAPINA CLORHIDRATO + ÁCIDO ASCÓRBICO, JARABE",LABORATORIO MAVER S.A.,Directa,25000,2021,2023,89,500000
777,IOPOVISOL SOLUCIÓN TÓPICA 10%,PRODUCTOS QUIRURGICOS Y FARMACOLOGICOS LEON BORZUTZKY FRIDMAN S.A.,Indirecta,25000,2021,2023,84,462000
783,GESIDOL COMPRIMIDOS 500 mg,MEDIPHARM LTDA.,Directa,25000,2022,2025,100,330000
790,OFF  FAMILY AEROSOL REPELENTE DE INSECTOS,S.C. JOHNSON & SON CHILE LTDA.,Directa,25000,2022,2025,94,391000
797,DUOPLANT GEL TÓPICO 27%,LABORATORIOS STIEFEL DE CHILE Y CIA. LTDA.,Indirecta,25000,2020,2025,100,502000
843,MULTAMIN C NARANJA COMPRIMIDOS MASTICABLES 100 mg,LABORATORIOS FASA S.A.,Directa,25000,2021,2024,100,512000
847,"FLUORURO DE SODIO SOLUCIÓN 0,05%",LABORATORIO CHILE S.A.,Directa,25000,2021,2025,97,421000
863,HIDRÓXIDO DE ALUMINIO COMPRIMIDOS MASTICABLES 500 mg,BESTPHARMA S.A.,Directa,25000,2022,2025,89,329000
868,BICARBONATO DE SODIO POLVO PARA SOLUCIÓN ORAL,LABORATORIOS PRATER S.A.,Directa,25000,2020,2024,88,448000
869,OCULOTECT FLUID SINE SOLUCIÓN OFTÁLMICA 5%,NOVARTIS CHILE S.A.,Indirecta,25000,2022,2025,100,336000
872,WINASORB SUPOSITORIOS 500 mg,LABORATORIOS LAFI LTDA.,Directa,25000,2019,2023,84,343000
922,GASOFF SUSPENSIÓN ORAL PARA GOTAS 4%,LABORATORIO MAVER S.A.,Directa,25000,2020,2025,82,531000
933,MULTIVITAMÍNICO CON MINERALES COMPRIMIDOS RECUBIERTOS,ITF - LABOMED FARMACÉUTICA LTDA.,Directa,25000,2022,2025,94,369000
1001,TAPSIN SIN CAFEÍNA COMPRIMIDOS 500 mg,LABORATORIO MAVER S.A.,Directa,25000,2022,2024,87,480000
1013,LAUNOL SHAMPOO,LABORATORIO CHILE S.A.,Directa,25000,2021,2025,81,404000
1046,"TUMS ANTIÁCIDO SABOR NARANJA, CEREZA, LIMA Y LIMÓN COMPRIMIDOS 500 mg",GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa,25000,2019,2024,85,465000
1051,A Y D CREMA VITAMÍNICA,SCHERING-PLOUGH CIA. LTDA.,Directa,25000,2022,2023,82,477000
