ID_MEDICAMENTO,DESCRIPCION,Laboratorio,Condicion_Venta,PRECIO_UNITARIO,FechaCompra,FechaCaducidad,Porcentaje_Efectividad,INVENTARIO
1,SPERTI PREPARATION H UNGÜENTO TÓPICO,LABORATORIOS WYETH LLC.,Directa, $10.138,12-02-2020,20-02-2027,94%,38
2,INFLUVAC VACUNA ANTI - INFLUENZA SUSPENSIÓN INYECTABLE,ABBOTT LABORATORIES DE CHILE LTDA.,Directa, $31.654,10-01-2021,02-12-2023,98%,79
3,BACITOPIC UNGÜENTO DÉRMICO,LABORATORIO CHILE S.A.,Directa, $39.035,25-03-2022,20-06-2025,90%,61
4,FLUAD VACUNA ANTIGRIPAL SUSPENSIÓN INYECTABLE,NOVARTIS CHILE S.A.,Directa, $28.935,08-02-2022,16-09-2027,93%,60
5,"GC-FLU VACUNA ANTIINFLUENZA INACTIVADA, FRACCIONADA SUSPENSIÓN INYECTABLE",LABORATORIO BIOSANO S.A.,Directa, $26.381,25-04-2020,29-12-2023,99%,30
6,GC-FLU PEDIÁTRICA  VACUNA ANTIINFLUENZA  INACTIVADA FRACCIONADA SUSPENSIÓN INYECTABLE,LABORATORIO BIOSANO S.A.,Directa, $65.658,06-09-2021,09-02-2027,94%,25
7,FLUAZUR PEDIÁTRICO VACUNA ANTIINFLUENZA INACTIVADA SUSPENSIÓN INYECTABLE,NOVARTIS CHILE S.A.,Directa, $61.816,28-03-2020,22-12-2024,85%,53
8,BIOVAC-FLU VACUNA ANTIFLUENZA FRACCIONADA INACTIVADA SUSPENSIÓN INYECTABLE,LABORATORIO BIOSANO S.A.,Directa, $28.005,26-12-2019,28-08-2025,89%,32
9,VAXIGRIP VACUNA ANTIINFLUENZA INACTIVADA SUSPENSIÓN INYECTABLE,SANOFI PASTEUR S.A.,Directa, $72.660,05-03-2020,14-12-2024,97%,73
10,VAXIGRIP PEDIÁTRICO VACUNA ANTIINFLUENZA INACTIVADA SUSPENSIÓN INYECTABLE,SANOFI PASTEUR S.A.,Directa, $12.190,30-12-2020,19-10-2025,90%,51
11,DERMABIÓTICO UNGÜENTO DÉRMICO,LABORATORIOS SAVAL S.A.,Directa, $30.142,20-03-2020,14-03-2027,86%,66
12,PERENTERYL PEDIÁTRICO POLVO LIOFILIZADO PARA USO ORAL 250 mg,MERCK S.A.,Directa, $56.184,27-12-2021,29-03-2027,99%,81
13,PERENTERYL CÁPSULAS 250 mg,MERCK S.A.,Directa, $46.774,01-11-2020,10-11-2023,100%,66
14,"DENTILIM SOLUCIÓN PARA COLUTORIO 0,1%",MEDIPHARM LTDA.,Directa, $60.112,16-12-2019,20-06-2027,99%,70
15,GESIDOL SUPOSITORIOS INFANTILES 125 mg,MEDIPHARM LTDA.,Directa, $45.583,04-04-2022,20-03-2025,95%,21
16,DIPROBASE CREMA TÓPICA,SCHERING-PLOUGH CIA. LTDA.,Directa, $15.733,02-04-2021,20-02-2027,97%,91
17,DIPROBASE LOCIÓN TÓPICA,SCHERING-PLOUGH CIA. LTDA.,Directa, $13.841,11-07-2021,03-11-2024,95%,19
18,UNGÜENTO ALCANFORADO,BESTPHARMA S.A.,Directa, $88.443,19-03-2022,04-01-2027,93%,47
19,AGUA PARA INYECTABLES,BESTPHARMA S.A.,Directa, $48.238,13-10-2020,29-11-2023,88%,41
20,POLVOS ALCALINOS VOLTA,LABORATORIOS  EUROMED CHILE S.A.,Directa, $17.581,07-03-2022,02-03-2027,84%,68
21,DISGREN COMPRIMIDOS DE LIBERACIÓN PROLONGADA 100 mg,LABORATORIO PASTEUR S.A.,Directa, $68.132,12-01-2020,04-04-2025,89%,36
22,DICHLOREXAN SOLUCIÓN TÓPICA  2 %,DIFEM LABORATORIOS S.A.,Directa, $76.072,20-01-2021,16-09-2027,84%,47
23,FAXET SOLUCIÓN TÓPICA,LABORATORIOS  EUROMED CHILE S.A.,Directa, $17.684,26-03-2020,13-11-2023,100%,45
24,FRESCANSOL POLVO,LABORATORIOS  EUROMED CHILE S.A.,Directa, $88.256,28-12-2019,21-02-2027,83%,79
25,TEF-C COMPRIMIDOS EFERVESCENTES 1 g,BESTPHARMA S.A.,Directa, $41.688,06-06-2021,29-07-2024,94%,15
26,TEF-C COMPRIMIDOS EFERVESCENTES 2 g,BESTPHARMA S.A.,Directa, $71.342,25-06-2021,19-04-2027,95%,17
27,NOSCAPINA MAS ÁCIDO ASCÓRBICO JARABE,LABORATORIOS FASA S.A.,Directa, $15.455,04-03-2021,08-05-2026,88%,98
