ID_MEDICAMENTO,DESCRIPCION,PRECIO_UNITARIO,INVENTARIO
1,SPERTI PREPARATION H UNGÜENTO TÓPICO,22069,75
2,INFLUVAC VACUNA ANTI - INFLUENZA SUSPENSIÓN INYECTABLE,24420,69
3,BACITOPIC UNGÜENTO DÉRMICO,70116,11
4,FLUAD VACUNA ANTIGRIPAL SUSPENSIÓN INYECTABLE,51104,35
5,"GC-FLU VACUNA ANTIINFLUENZA INACTIVADA, FRACCIONADA SUSPENSIÓN INYECTABLE",28904,89
6,GC-FLU PEDIÁTRICA  VACUNA ANTIINFLUENZA  INACTIVADA FRACCIONADA SUSPENSIÓN INYECTABLE,67232,94
7,FLUAZUR PEDIÁTRICO VACUNA ANTIINFLUENZA INACTIVADA SUSPENSIÓN INYECTABLE,56317,50
8,BIOVAC-FLU VACUNA ANTIFLUENZA FRACCIONADA INACTIVADA SUSPENSIÓN INYECTABLE,18825,26
9,VAXIGRIP VACUNA ANTIINFLUENZA INACTIVADA SUSPENSIÓN INYECTABLE,25213,4
10,VAXIGRIP PEDIÁTRICO VACUNA ANTIINFLUENZA INACTIVADA SUSPENSIÓN INYECTABLE,91111,21
11,DERMABIÓTICO UNGÜENTO DÉRMICO,22622,70
12,PERENTERYL PEDIÁTRICO POLVO LIOFILIZADO PARA USO ORAL 250 mg,87201,89
13,PERENTERYL CÁPSULAS 250 mg,65675,23
14,"DENTILIM SOLUCIÓN PARA COLUTORIO 0,1%",75846,83
15,GESIDOL SUPOSITORIOS INFANTILES 125 mg,16478,5
16,DIPROBASE CREMA TÓPICA,72215,89
17,DIPROBASE LOCIÓN TÓPICA,70651,35
18,UNGÜENTO ALCANFORADO,95236,43
19,AGUA PARA INYECTABLES,24011,6
20,POLVOS ALCALINOS VOLTA,36118,66
21,DISGREN COMPRIMIDOS DE LIBERACIÓN PROLONGADA 100 mg,39584,23
22,DICHLOREXAN SOLUCIÓN TÓPICA  2 %,28891,98
23,FAXET SOLUCIÓN TÓPICA,29566,93
24,FRESCANSOL POLVO,71175,56
25,TEF-C COMPRIMIDOS EFERVESCENTES 1 g,90101,3
26,TEF-C COMPRIMIDOS EFERVESCENTES 2 g,33265,0
27,NOSCAPINA MAS ÁCIDO ASCÓRBICO JARABE,67857,3
28,PARACETAMOL SUPOSITORIOS 125 mg,24763,97
29,A Y R EMULSIÓN DÉRMICA 5%,47748,86
30,AYR CON UREA EMULSIÓN TÓPICA 10%,69611,52
31,AYREMENTOL LOCIÓN TÓPICA,98159,50
32,DURASOLETS UNGÜENTO OFTÁLMICO,84200,68
33,GELSOLETS GEL OFTÁLMICO,90382,92
34,"TETRIZOLINA CLORHIDRATO SOLUCIÓN OFTÁLMICA 0,05%",26003,96
35,CORPADEN COMPRIMIDOS,50385,14
36,BROMHEXINA CLORHIDRATO JARABE 8 mg/5 mL,46614,54
37,BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL,85429,55
38,"BBDENT GEL TÓPICO 7,5%",37754,7
39,CARISTOP COMPUESTO PASTA DENTAL BIFLUORADA,83572,90
40,CLORHEXIDINA GLUCONATO SOLUCIÓN TÓPICA 4%,19132,16
41,DOLORUB CREMA TÓPICA 5%,57953,14
42,ADFEN COMPRIMIDOS RECUBIERTOS 200 mg,75532,83
43,"ORALGENE COLUTORIO 0,12%",48344,52
44,ORALGENE POLVO PARA SOLUCIÓN BUCAL,47231,92
45,ORALGENE CON XILITOL COMPRIMIDOS MASTICABLES 5 mg,52315,68
46,PROCTOGEL CREMA TÓPICA,83348,57
47,TAPSIN COMPRIMIDOS,36288,32
48,TAPSIN COMPUESTO POLVO PARA SOLUCIÓN ORAL EN SOBRES,14647,27
49,TAPSIN SIN CAFEÍNA PERÍODO MENSTRUAL COMPRIMIDOS,70526,87
50,PARACETAMOL MAS CAFEÍNA CÁPSULAS BLANDAS,69193,28
51,ARTREN GEL DÉRMICO 1%,20748,23
52,CEBION 1000 COMPRIMIDOS EFERVESCENTES 1 g,56487,23
53,CEBION 2000 COMPRIMIDOS EFERVESCENTES 2 g,65885,6
54,CEBION CALCIO COMPRIMIDOS EFERVESCENTES,59554,88
55,NEUROBIONTA COMPRIMIDOS RECUBIERTOS,75606,23
56,NUTRIZIMA GRAGEAS,88314,41
57,ARTREN GEL DÉRMICO 1%,11421,8
58,"FELDENE GEL TÓPICO 0,5%",25310,11
59,CEBION SOLUCIÓN PARA GOTAS ORALES,90803,71
60,CEBION CÁLCICO COMPRIMIDOS EFERVESCENTES,97868,100
61,"VISINE SOLUCIÓN OFTÁLMICA 0,5 mg/mL",38793,67
62,LEFKACID COMPRIMIDOS,40566,93
63,ILIADIN SOLUCIÓN OFTÁLMICA,86024,12
64,SALUBION JARABE,42848,82
65,OBLEAS CHINAS LI-WU-PAT,14828,90
66,PECTOVER JARABE,57883,62
67,CONMEL COMPRIMIDOS 324 mg,66783,32
68,PANADOL COMPRIMIDOS MASTICABLES 160 mg,77694,30
69,PANADOL ADULTOS PLUS COMPRIMIDOS RECUBIERTOS,19670,11
70,PANADOL COMPRIMIDOS EFERVESCENTES 500 mg,13039,70
71,CONMEL SUPOSITORIOS 300 mg,60442,95
72,IBUEVANOL COMPRIMIDOS RECUBIERTOS 200 mg,24650,50
73,ECOTRIN COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg,92631,94
74,"ALCOLEX SOLUCIÓN TÓPICA 0,1%",99994,75
75,CALCIO CM COMPRIMIDOS MASTICABLES,33165,34
76,TRIMAX COMPRIMIDOS,59623,56
77,MULTIVITAMÍNICO CON MINERALES COMPRIMIDOS RECUBIERTOS,29265,76
78,ZINCOVIT COMPRIMIDOS RECUBIERTOS,52019,36
79,LECHE DE MAGNESIA PHILLIPS REGULAR,52673,64
